Claim,Evidence,Original Evidence,label
We should legalize prostitution,"Detective Greg Harvey, Eugene, Oregon, said that these cases were actually very common; He said: 'This is currently happening, it is incredible how many girls are shipped by different brothels in the north and southern Nevada. Many are minors.' Another detective, the SGT. Pete Kerns, argued Harvey's claims: 'Never buy the line in which no one is working (Nevada fences),' he said. 'It happens.' [Ref","Detective Greg Harvey, from Eugene, Oregon, said such cases were in reality very common; he said, 'It's happening right now, it's amazing how many girls are shipped from here to different brothels in northern and southern Nevada. Many are underage.' Another detective, Sgt. Pete Kerns, supported Harvey's claims: 'Never buy the line that nobody under 18 works in (Nevada brothels),' he said. 'It's happening.'[REF",1
We should further exploit green technology,"The production of biomass electricity has increased by more than 100% in Germany, Hungary, the Netherlands, Poland and Spain","Biomass electricity generation increased by over 100% in Germany, Hungary, the Netherlands, Poland, and Spain",1
We should subsidize public transportation,"The study was conducted by the city of Chicago, the Chicago Transit Authority and other public agencies to examine the rapid transit system in downtown Chicago, and develop a plan to maximize the contributions that effective public transport could provide to the economic health of the city.","The study was conducted by the City of Chicago, the Chicago Transit Authority, and other public agencies to examine the rapid transit system in downtown Chicago, and develop a plan to maximize the contributions that effective public transportation could make toward the City's economic health.",1
countering the effects of a history of discrimination,"The international convention on the elimination of all forms of racial discrimination stipulates (in article 2.2) that positive action programs may be required from countries which have ratified the Convention, in order to rectify systematic discrimination","The International Convention on the Elimination of All Forms of Racial Discrimination stipulates (in Article 2.2) that affirmative action programs may be required of countries that ratified the convention, in order to rectify systematic discrimination",1
We should further exploit nuclear power,Some supporters of nuclear energy believe that the construction of more nuclear power plants can reduce greenhouse emissions [ref].,Some proponents of nuclear power believe that building more nuclear power plants can reduce greenhouse emissions [REF].,1
We should legalize prostitution,The former majority conservative government supported the ban on prostitution.,The former majority Conservative government supported the prohibition of prostitution.,1
We should legalize the growing of coca leaf,"Critics of the effort affirm [ref] that it creates difficulties mainly for coca producers, many of which are poor and have no viable alternative means of earning their living, causes environmental problems, that it is not effective in reducing the supply of cocaine, partly because culture can evolve towards other areas, and that any social damage created by the abuse of medicines is only aggravated by the war against drugs [REF].","Critics of the effort claim[REF] that it creates hardship primarily for the coca growers, many of whom are poor and have no viable alternative way to make a living, causes environmental problems, that it is not effective in reducing the supply of cocaine, in part because cultivation can move to other areas, and that any social harm created by drug abuse is only made worse by the War on Drugs [REF].",1
We should ban whaling,The current Dutch government supports a moratorium on all whalers around the world [ref].,The current Dutch government supports a moratorium on all whaling worldwide [REF].,1
We should abolish the two-party system,"Italy, with a multipartite system, has been division years since 2000, although analyst Silvia Aloisi suggested in 2008 that the nation could get closer to a two -part arrangement [REF].","Italy, with a multi-party system, has had years of divisive politics since 2000, although analyst Silvia Aloisi suggested in 2008 that the nation may be moving closer to a two-party arrangement [REF].",1
"school should be made to fit the child, rather than the other way around","Neill founded Summerhill with the conviction that 'the function of a child is to live his own life - not the life that his anxious parents think he should live, not a life according to the aim of an educator who thinks he knows best.' [Ref] [ref]","Neill founded Summerhill with the belief that 'the function of a child is to live his own life  not the life that his anxious parents think he should live, not a life according to the purpose of an educator who thinks he knows best.'[REF][REF",1
We should further exploit wind power,"A 2003 survey of residents living around the 10 existing wind farms in Scotland found high levels of community acceptance and strong support for wind energy, with great support from those who lived closest to wind farms.","A 2003 survey of residents living around Scotland's 10 existing wind farms found high levels of community acceptance and strong support for wind power, with much support from those who lived closest to the wind farms.",1
We should ban alcoholic beverages,A Dutch study even revealed that white wine drinkers had a lower risk [ref].,One Dutch study even found that drinkers of white wine had lower risk [REF].,1
We should ban trans fats usage in food,"In February 2008, Newsom, also a restaurateur, signed a measure, supported by the Golden Gate Restaurant Association, to ask the restaurants of San Francisco to voluntarily prohibit the trans fat of their kitchens [ref].","In February 2008, Newsom, also a restaurateur, signed a measure, backed by the Golden Gate Restaurant Association, to ask San Francisco restaurants to voluntarily ban trans fats from their kitchens [REF].",1
We should end affirmative action,"According to these adversaries, this contradiction could make the counterproductive of positive action.","According to these opponents, this contradiction might make affirmative action counter-productive.",1
We should further exploit wind power,Wind power is affected by air temperature because the colder air is denser and therefore more effective in producing wind energy.,Wind power is affected by air temperature because colder air is more dense and therefore more effective at producing wind power.,1
We should legalize doping in sport,"Although the number of cases is low, Basque regional governments began to introduce doping measures in 1997 and created the office of the official veterinarian in 2005 to ensure good practices.","Although the number of cases is low, the Basque regional governments started introducing anti-doping measures in 1997 and created the office of Official Veterinarian in 2005 to help ensure good practice.",1
We should ban male infant circumcision,"Wilson suggests that circumcision reduces the effectiveness of insemination, reducing the capacity of a man for additional fertilizations by altering the sperm competition.","Wilson suggests that circumcision reduces insemination efficiency, reducing a man's capacity for extra-pair fertilizations by impairing sperm competition.",1
We should prohibit hydraulic fracturing,"A study by EPA in 2004 on hydraulic fracturing in coal methane wells concluded that the process was safe and did not justify a more in -depth study, because there was 'no unequivocal evidence' of the health risks of groundwater, and fluids were neither necessarily dangerous nor capable of browsing away [ref.].","A 2004 EPA study on hydraulic fracturing in coalbed methane wells concluded that the process was safe, and didn't warrant further study, because there was 'no unequivocal evidence' of health risks to groundwater, and the fluids were neither necessarily hazardous nor able to travel far underground [REF].",1
We should raise the retirement age,The budget also increases the retirement age for new hires and recalculates the advantages for new hires.,"The budget also increases the retirement age for new hires, and recalculates benefits for new hires.",1
We should ban abortions,The intersection of scientology and abortion has a controversial history that began with the discussion of the abortion of the founder of Scientology L. Ron Hubbard in his book Dianetics from 1950: Modern science of mental health. Hubbard wrote in dianetics that abortion and abortion attempts could cause trauma to the fetus and the mother in a spiritual and physical way,"The intersection of Scientology and abortion has a controversial history which began with Scientology founder L. Ron Hubbard's discussion of abortion in his 1950 book Dianetics: The Modern Science of Mental Health. Hubbard wrote in Dianetics that abortion and attempts at abortion could cause trauma to the fetus and to the mother in both spiritual and physical ways",1
We should ban full-body scanners,"The Italian government had planned to install temporary scanners in all stations of the airport and trains across the country, but announced in September 2010 planned to remove the scanners from airports, calling them 'slow and ineffective'. [Ref].","The Italian government had planned to install full-body scanners at all airport and train stations throughout the country, but announced in September 2010 plans to remove the scanners from airports, calling them 'slow and ineffective.'[REF] .",1
We should ban alcoholic beverages,"[[World Cancer Research Fund]] Food Panel '' report, nutrition, physical activity and cancer prevention: a global perspective 'finds' convincing 'evidence that alcoholic beverages increase the risk of the following cancers: mouth, pharynx and larynx, esophagus, colorectum (men), breast (pre-et-sdopause)","The [[World Cancer Research Fund]] panel report ''Food, Nutrition, Physical Activity and the Prevention of Cancer: a Global Perspective'' finds the evidence 'convincing' that alcoholic drinks increase the risk of the following cancers: mouth, pharynx and larynx, oesophagus, colorectum (men), breast (pre- and postmenopause) [REF",1
We should ban gambling,A study by the 2010 Australian Hospital revealed that 17% of suicidal patients admitted to the emergency service of Alfred Hospital were problem players [Ref,"A 2010 Australian hospital study found that 17% of suicidal patients admitted to the Alfred Hospital's emergency department were problem gamblers [REF",1
We should increase gun control,"Tritt told Insight On The News, that he was a fervent supporter of the rights of the second amendment and believes that the response to the crime is not control of firearms but criminal control.","Tritt told Insight on the News, that he is a strong supporter of Second Amendment rights and believes the answer to crime is not gun control but criminal control.",1
We should protect endangered species,The American environmental protection agency has sought to protect endangered species.,The US Environmental Protection Agency sought to protect endangered species.,1
We should further exploit geothermal energy,"In October 2010, Sergei Shmatko, Russian Minister of Energy, said that Russia and Iceland would work together to develop geothermal energy in Kamchatka [REF].","In October 2010, Sergei Shmatko, Russia's energy minister, stated that Russia and Iceland would work together to develop Kamchatka's geothermal energy sources [REF].",1
We should further exploit nuclear power,"A demonstrator, Yohei Nakamura, said that nuclear energy is a serious problem and that anti-nuclear demonstrations were undercrocted in the Japanese press due to the influence of the Tokyo Electric Power Co., he declared that 'if the mass media show anti-nuclear activities such as demonstrations, they risk losing Tepco as a year.'","One protester, Yohei Nakamura, said nuclear power is a serious problem and that anti-nuclear demonstrations were undercovered in the Japanese press because of the influence of the Tokyo Electric Power Co. He said that 'If the mass media shows anti-nuclear-power activities like demonstrations, they risk losing TEPCO as an advertiser.'",1
We should ban partial birth abortions,"An ABC 2003 survey revealed that 62% of respondents thought that abortion at partial birth should be illegal; A similar number of respondents wanted an exception 'if that prevented a serious threat to women's health'.","An ABC poll from 2003 found that 62% of respondents thought partial-birth abortion should be illegal; a similar number of respondents wanted an exception 'if it would prevent a serious threat to the woman's health'.",1
Affirmative action is intended to promote  equal opportunity,"This decree was replaced by the executive decree 11246, which was signed by President Lyndon B. Johnson on September 24, 1965 and confirmed the commitment of the federal government 'to promote the full achievement of an equal employment opportunity through a positive and continuous program in each executive department and agency' [Ref '","This executive order was superseded by Executive Order 11246, which was signed by President Lyndon B. Johnson on September 24, 1965 and affirmed the Federal Government's commitment 'to promote the full realization of equal employment opportunity through a positive, continuing program in each executive department and agency' [REF",1
Casinos should be banned,Another complaint of other American citizens is the negative effects that casinos have in neighboring neighborhoods.,Another complaint from other U.S. citizens is the negative effects casinos have on nearby neighborhoods.,1
We should abandon social media,"Although initially controversial, in 2006, he commonly became admitted that social media played an important role in public relations [ref].","While initially controversial, by 2006 it became commonly accepted that social media had an important role in public relations [REF].",1
We should increase gun control,The organization of mayors supports control of firearms and is particularly strong on plea to abolish the Tiahrt amendment.,The organization of mayors supports gun control and is especially strong on the advocacy to abolish the Tiahrt Amendment.,1
We should ban free newspapers,"Shih hopes that thanks to this free newspaper, the young people of Hong Kong will cultivate a greater interest in the news and for the future of Hong Kong.","Shih hopes that through this free newspaper, young people in Hong Kong will cultivate a greater interest in the news and in the future of Hong Kong.",1
We should adopt multiculturalism,"A nation has greatly campaigned against official multiculturalism, arguing that it represented 'a threat for the very basis of Australian shared culture, identity and shared values' and that there was 'no reason for migrant cultures to be maintained at the expense of our shared national culture'.","One Nation campaigned strongly against official multiculturalism, arguing that it represented 'a threat to the very basis of the Australian culture, identity and shared values' and that there was 'no reason why migrant cultures should be maintained at the expense of our shared, national culture.'",1
We should fight urbanization,"Although complete data on the regional severity of the famine do not exist, the evidence available indicate that severe movement restrictions, proximity to agricultural production and the level of urbanization were crucial factors of mortality by famine [REF].","Although comprehensive data on regional famine severity does not exist, the available evidence indicates that the severe movement restrictions, the proximity to agricultural production and the level of urbanization were crucial factors of famine mortality [REF].",1
We should cancel the Affordable Care Act,"According to Broun, 'this is the fight that the Americans were waiting for and hoped ... The majority of Americans applauded our efforts and encouraged us to remain strong', [ref] although a CBS survey reported that 72 percent of Americans have disapproved of closing the federal government on the differences in the affordable care law [REF].","According to Broun, 'It was the fight that Americans had been waiting and hoping for..the majority of Americans applauded our efforts and encouraged us to stand strong',[REF] although a CBS News poll reported that 72 percent of Americans disapproved of shutting down the federal government over differences on the Affordable Care Act [REF].",1
We should introduce a flat tax,Jutta Urpilainen reiterated its assertion that the outgoing government favored the creation of a flat -rate tax.,Jutta Urpilainen reiterated her claim that the incumbent government was furthering the establishment of a flat tax.,1
We should legalize the growing of coca leaf,"Coca's eradication policy has been criticized for its negative impact on the livelihoods of coca producers in South America.",The coca eradication policy has been criticised for its negative impact on the livelihood of coca growers in South America.,1
the groups are considered hostile or alien to the natural culture,"According to Fetzer, (2000), opposition to immigration is common in many countries due to problems of national, cultural or religious identity","According to Fetzer, (2000) opposition to immigration is common in many countries because of issues of national, cultural or religious identity",1
Suicide should be a criminal offence,"For Stoics, a philosophical sect from Greece, death was a guarantee of personal freedom, a means of getting out of an intolerable existence. And it was therefore for Cato the youngest, who committed suicide after the Pompeian cause was defeated at the battle of Thapsus. It was a 'virtuous death', guided by reason and consciousness.","For the Stoics, a philosophical sect which originated in Greece, death was a guarantee of personal freedom, a way out of an intolerable existence. And so it was for Cato the Younger, who killed himself after the Pompeian cause was defeated at the Battle of Thapsus. This was a 'virtuous death', one guided by reason and conscience.",1
We should adopt socialism,"The congress adopted five 'basic principles of the party line', which had to maintain the banners of international proletarian patriotism and solidarity; defend the country (the primary and sacred task of all); Restore and develop the economy and culture during a progressive transition to socialism; to strengthen military solidarity with Vietnam, Laos, the Soviet Union and other socialist nations; And to develop 'a Marxist-Leninist Farm' party '.","The Congress adopted five 'basic principles of the party line', which were to uphold the banners of patriotism and of international proletarian solidarity; to defend the country (the primary and sacred task of all people); to restore and to develop the economy and the culture in the course of gradual transition toward socialism; to strengthen military solidarity with Vietnam, Laos, the Soviet Union and other socialist nations; and to develop 'a firm Marxist-Leninist party'.",1
We should subsidize the human mission to Mars,"On May 31, 2013, NASA scientists reported that a possible inhabited mission in March can involve a higher risk of radiation than what thought previously, on the basis of the quantity of energy influence of particles detected by RAD on the laboratory of sciences of March by traveling from the earth to March in 2011-2012 [Ref].","On 31 May 2013, NASA scientists reported that a possible manned mission to Mars may involve a greater radiation risk than previously believed, based on the amount of energetic particle radiation detected by the RAD on the Mars Science Laboratory while traveling from the Earth to Mars in 2011-2012 [REF].",1
We should end mining,"In almost all cases, local communities are extremely opposed to mining due to its environmental impact on their livelihoods.","In almost all cases, local communities are overwhelmingly opposed to mining because of its environmental impact on their livelihoods.",1
Assisted suicide should be a criminal offence,"In Washington c. Glucksberg (1997), [Ref] A group of residents of Washington said that a law of the State prohibiting assisted suicide [ref] was unconstitutional at first glance.","In Washington v. Glucksberg (1997),[REF] a group of Washington residents asserted that a state law banning assisted suicide[REF] was unconstitutional on its face.",1
We should ban herbal medicine,"In comparison, plants based on plants can be cultivated from seeds or gathered nature for little or no cost.","In comparison, herbal medicines can be grown from seed or gathered from nature for little or no cost.",1
We should subsidize biofuels,"Second and third generation biofuel processes can relieve pressure on land, as they can use waste biomass and biomass (unexploited) (unexploited) sources such as crop residues and potentially even sea algae.","Second and third generation biofuel processes can ease the pressure on land, because they can use waste biomass, and existing (untapped) sources of biomass such as crop residues and potentially even marine algae.",1
We should ban male infant circumcision,"The same year, the president of Tasmania of Australian Medical Association, Haydn Walters, declared that they would make an appeal to prohibit circumcision for non -medical and non -religious reasons [REF].","In the same year, the Tasmanian President of the Australian Medical Association, Haydn Walters, stated that they would support a call to ban circumcision for non-medical, non-religious reasons [REF].",1
We should further exploit hydroelectric dams,The large flower dam supports four different electricity rooms containing 33 hydroelectric generators.,Grand Coulee Dam supports four different power houses containing 33 hydroelectric generators.,1
former athletes bear the physical and mental scars of years of drug abuse,"In 1977, one of the best sprinters in East Germany, Renate Neufeld, fled to the west with the Bulgarian which she married later. A year later, she told her that she was told to take drugs provided by coaches during training to represent East Germany at the 1980 Olympic Games. At 17, I joined the East Berlin Sports Institute. My specialty was the 80m hedges. We have sworn that we are not talking to anyone about our training methods, including our parents. The training was very difficult. We were all watched. We signed a register each time we left for the dormitory and we had to say where we were going and what time we would come back. One day, my trainer, Gnter Clam, advised me to take pills to improve my performance: I was running 200m in 24 seconds. My trainer told me that the pills were vitamins, but I soon had a cramp in my legs, my voice became gruff and sometimes I could no longer speak. Then I started to develop a mustache and my period stopped","In 1977, one of East Germany's best sprinters, Renate Neufeld, fled to the West with the Bulgarian she later married. A year later she said that she had been told to take drugs supplied by coaches while training to represent East Germany in the 1980 Olympic Games.   At 17, I joined the East Berlin Sports Institute. My speciality was the 80m hurdles. We swore that we would never speak to anyone about our training methods, including our parents. The training was very hard. We were all watched. We signed a register each time we left for dormitory and we had to say where we were going and what time we would return. One day, my trainer, Gnter Clam, advised me to take pills to improve my performance: I was running 200m in 24 seconds. My trainer told me the pills were vitamins, but I soon had cramp in my legs, my voice became gruff and sometimes I couldn't talk any more. Then I started to grow a moustache and my periods stopped",1
We should end water fluoridation,The fluoridation of water has its criticisms (see the controversy of water fluoridation) [ref].,Fluoridation of water has its critics (see Water fluoridation controversy) [REF].,1
We should limit the freedom of speech,"Sheldon said 'We recognize the right to legal protest', and Holzinger said that 'people have the right to express themselves. The Church of Scientology has always defended the law of freedom of expression.' [Ref] [ref]","Sheldon stated 'we recognize the right to legal protest', and Holzinger said 'People have the right to express themselves .. The Church of Scientology has always defended the right of freedom of expression.'[REF][REF]",1
We should fight global warming,"The denial of climate change is the first example, where a handful of scientists, combined with an effective public relations machine, publicly dispute the scientific consensus according to which global warming is real and is mainly due to human consumption of fossil fuels.","Climate change denialism is the prime example, where a handful of scientists, allied with an effective PR machine, are publicly challenging the scientific consensus that global warming is real and is due primarily to human consumption of fossil fuels.",1
We should subsidize biofuels,"Studies have shown that for each energy supply unit necessary to create a biofuel from the switching grass, four energy units are sold [REF].","Studies have found that for every unit of energy input needed to create a biofuel from switchgrass, four units of energy are yielded [REF].",1
We should increase government regulation,"And as most industries with pollution problems, chemical manufacturers are opposed to medical government regulations that make business more difficult and costly.","And like most industries with pollution problems, chemical manufacturers oppose meddlesome government regulations that make it more difficult and expensive for them to do business.",1
We should ban whaling,"Ray Gambell, then secretary of the CID, agreed at least in part with the argument of the pro-Whalling nations: 'In all reasons, we must say that a commercial socket could be taken without endangering [minke] stocks.' [Ref","Ray Gambell, then the Secretary of the IWC, agreed at least in part with the argument of the pro-whaling nations: 'In all reasonableness, we would have to say that a commercial catch could be taken without endangering [Minke] stocks.'[REF",1
We should adopt open source software,"Collaborations such as Wikipedia, free software movement and open source software succeed in that they benefit from small contributions from many people and that the cost of failure is low [ref].","Collaborations such as Wikipedia, the free software movement, and open source software are successful in that they take advantage of small contributions by many people and that the cost of failure is low [REF].",1
We should ban abortions,"Even among the Protestants who believe that abortion should be a legal option, there are those who believe that it should nevertheless be morally unacceptable in most cases.","Even among Protestants who believe that abortion should be a legal option, there are those who believe that it should nonetheless be morally unacceptable in most instances.",1
We should further exploit nuclear power,"In 1990, the US Congress asked the National Cancer Institute to carry out a study of cancer mortality rates around nuclear power plants and other facilities covering 1950 to 1984 by focusing on change after the operation launched the respective facilities. They concluded unrelated",In 1990 the United States Congress requested the National Cancer Institute to conduct a study of cancer mortality rates around nuclear plants and other facilities covering 1950 to 1984 focusing on the change after operation started of the respective facilities. They concluded in no link,1
We should ban the sale of violent video games to minors,"In 2000, the County Council of St. Louis, Missouri, promulgated an order of 20 193 which prohibited minors from buying, renting or playing violent video games considered as visual representations or a representation of realistic injuries to a human or a 'human offense which was called into question in the minors of' violation of identification '. Freedom of expression is guaranteed by the first amendment. The IDSA cited the 7th circuit case of American Amoursement Machine Association c. Kendrick [Ref] as previous suggesting that the content of the video game was a form of freedom of expression","In 2000, the County Council for St. Louis, Missouri enacted Ordinance 20,193 that barred minors from purchasing, renting, or playing violent video games deemed to contain any visual depiction or representation of realistic injury to a human or a 'human-like being' that appealed to minors' 'morbid interest in violence.'[REF] This ordinance was challenged in 2001 by the Interactive Digital Software Association (IDSA) as violative of freedom of expression as guaranteed by the first amendment. The IDSA cited the 7th Circuit case of American Amusement Machine Association v. Kendrick[REF] as precedent suggesting that video game content was a form of freedom of expression",1
Sex education should be mandatory,The United Nations believe that the United States must recognize sex education as a fundamental human right.,The United Nations believes the United States needs to recognize sexual education as a fundamental human right.,1
We should further exploit nuclear power,"In May 2001, an Ipsos survey revealed that almost 70% of the population had a 'good opinion' of nuclear energy","In May 2001, an Ipsos poll found that nearly 70% of the population had a 'good opinion' of nuclear power",1
Sex education should be mandatory,The Democratic Party also strongly supports access to complete affordable affordable family planning services and age adapted to age that allow people to make enlightened choices and live a healthy life.,The Democratic Party also strongly supports access to comprehensive affordable family planning services and age-appropriate sex education which empower people to make informed choices and live healthy lives.,1
We should ban alcoholic beverages,"A study concluded: 'People who drink alcoholic beverages could have a lower NHL risk than those who do not, and this risk can vary depending on the NHL subtype.' [Ref] 'compared to non-luns, alcohol consumers had a lower risk for non-Hodgkin's lymphoma overall .. and for its main subtypes.' [Ref.","A study concluded, 'People who drink alcoholic beverages might have a lower risk of NHL than those who do not, and this risk might vary by NHL subtype.'[REF] 'Compared with nondrinkers, alcohol consumers had a lower risk for non-Hodgkin's lymphoma overall .. and for its main subtypes.'[REF",1
religion is a positive civilizing influence on society,"A meta-analysis of 60 studies on religion and crime has concluded, 'religious behaviors and beliefs have a moderate deterrent on the criminal behavior of individuals' [Ref","a meta-analysis of 60 studies on religion and crime concluded, 'religious behaviors and beliefs exert a moderate deterrent effect on individuals' criminal behavior' [REF",1
We should abolish intellectual property rights,"Intellectual property rights (DPI) have been recognized and protected in the People's Republic of China since 1979.","Intellectual property rights (IPRs) have been acknowledged and protected in the People's Republic of China since 1979.",1
We should ban human cloning,"Ben Mitchellin, assistant professor of Christian ethics at the Southern Baptist Theological Seminary :.   'The time has come for an outright ban on the production of human embryos cloned with fertilization at birth, whatever the way research is funded.","Ben Mitchellin, assistant professor of Christian ethics at Southern Baptist Theological Seminary: .   'The time is right for an outright ban on the production of cloned human embryos from fertilization to birth, regardless of how the research is funded. The vast majority of the American public favors a ban on both privately funded and publicly funded research",1
We should abolish the two-party system,"The former campaign director of Ross Perot wrote that the problem with only two parties is that the nation loses 'the ability of things to bubble from the political body and give voice to the things that are not expressed by the main parties'.","Ross Perot's former campaign manager wrote that the problem with having only two parties is that the nation loses 'the ability for things to bubble up from the body politic and give voice to things that aren't being voiced by the major parties.'",1
We should ban abortions,"The court has reached its decision by concluding that the question of rights to abortion and abortion is the right to privacy (within the meaning of a person's right not to be encroached by the State). In his opinion, he listed several historic affairs where the court had previously found a right to privacy involved by the Constitution.","The Court arrived at its decision by concluding that the issue of abortion and abortion rights falls under the right to privacy (in the sense of the right of a person not to be encroached by the state). In its opinion, it listed several landmark cases where the court had previously found a right to privacy implied by the Constitution.",1
Physical education should be mandatory,"The most innovative aspect of Jordan's idea of public parks may have been the change in public perception: stressing the importance of physical education and making people realize that physical exercise is just as important for the intellectual development of children, while shaping their personality.","The most innovative aspect of Jordan's idea of public parks was perhaps the change in public's perception: stressing the importance of physical education and making people realize that physical exercise is equally important to intellectual development of children, while shaping their personality.",1
We should limit the use of birth control,ICAB teaches that birth control is acceptable in certain circumstances (as for disease prevention).,ICAB teaches that birth control is acceptable in certain circumstances (such as for disease prevention).,1
We should ban alcoholic beverages,"In November 1991, the American new 60-minute program broadcast a broadcast on the so-called 'French paradox'. Presenting the research work of the scientist of Bordeaux Serge Renaud, the dissemination dealt with the apparently paradoxical relationship between the rich / rich dairy diets of the French and the low occurrence of cardiovascular diseases among them. The broadcast resulted in parallels with the American and British regimes which also contained high levels of fats and dairy products but which included high impact of heart disease. One of the theories proposed by Renaud in the diffusion was that moderate consumption of red wine was a factor of risk reduction for the French and that wine could have more positive health benefits to study [Ref","In November 1991, the U.S. news program 60 Minutes aired a broadcast on the so-called 'French Paradox'. Featuring the research work of Bordeaux scientist Serge Renaud, the broadcast dealt with the seemingly paradoxical relationship between the high fat/high dairy diets of French people and the low occurrence of cardiovascular disease among them. The broadcast drew parallels to the American and British diets which also contained high levels of fat and dairy but which featured high incidences of heart disease. One of the theories proposed by Renaud in the broadcast was that moderate consumption of red wine was a risk-reducing factor for the French and that wine could have more positive health benefits yet to be studied [REF",1
acknowledgment of God or the gods is a major factor in motivating people towards moral behavior,"Douglas Wilson maintains that even if atheists can behave morally, belief is necessary for an individual 'to give a rational and coherent story' of the reason why they are obliged to lead a morally responsible life [Ref","Douglas Wilson argues that while atheists can behave morally, belief is necessary for an individual 'to give a rational and coherent account' of why they are obligated to lead a morally responsible life [REF",1
We should abolish the monarchy,A hereditary system condemns each heir to the throne in an abnormal childhood. This was historically the reason why the anarchist William Godwin opposed the monarchy,a hereditary system condemns each heir to the throne to an abnormal childhood. This was historically the reason why the anarchist William Godwin opposed the monarchy,1
We should protect endangered species,High officials have repeatedly rejected the opinions of scientific advisers who have declared that species should be protected [ref].,Senior officials repeatedly dismissed the views of scientific advisers who said that species should be protected [REF].,1
We should further exploit nuclear power,There is a wide range of published energy studies which conclude that energy efficiency programs and renewable energy technologies are a better energy option than nuclear power plants.,There is a wide range of published energy-related studies which conclude that energy efficiency programs and renewable power technologies are a better energy option than nuclear power plants.,1
We should fight for Palestinian independence,"During the reception held to him in Bethlehem on May 13, the Pope said: the Holy See supports the right of your people to a sovereign Palestinian homeland in the country of your ancestors, secure and in peace with its neighbors, within internationally recognized borders [ref].","During the reception that was held for him in Bethlehem on 13 May, the Pope said: the Holy See supports the right of your people to a sovereign Palestinian homeland in the land of your forefathers, secure and at peace with its neighbors, within internationally recognized borders [REF].",1
We should further exploit nuclear power,A 2008 survey shows that relatively few New Zealanders promote nuclear energy as the best source of energy [ref].,A 2008 survey shows that relatively few New Zealanders favour nuclear power as the best energy source [REF].,1
We should protect endangered species,"Congress has spoken in the clearest words, clearly indicating that endangered species must be granted the highest priorities.","Congress has spoken in the plainest words, making it clear that endangered species are to be accorded the highest priorities.",1
We should increase government regulation,"Harris Miller, lobbyist and information president Technology Association of America, believes that regulations inhibit innovation.","Harris Miller, a lobbyist and president of the Information Technology Association of America, believes that regulation inhibits innovation.",1
Abstinence-only sex education should be mandatory,"The AMA 'urges schools to implement sex education programs.","The AMA 'urges schools to implement comprehensive.. sexuality education programs that.. include an integrated strategy for making condoms available to students and for providing both factual information and skill-building related to reproductive biology, sexual abstinence, sexual responsibility, contraceptives including condoms, alternatives in birth control, and other issues aimed at prevention of pregnancy and sexual transmission of diseases.. [and] opposes the sole use of abstinence-only education..'[REF] .",1
We should subsidize the human mission to Mars,"The FMARS is guided by three goals fixed by the Mars Society: serve as a test bench for human exploration Mars, to serve as a useful research center on an analog site in March and generate public support for sending humans to Mars [REF].","FMARS is guided by three goals set by the Mars Society: to serve as a testbed for human Mars exploration, to serve as a useful research facility at a Mars analog site, and to generate public support for sending humans to Mars [REF].",1
countering the effects of a history of discrimination,"The formerly privileged white minority was forced by law to employ groups previously deprived of their rights (black, Indians and colorful), collectively called 'black","the formerly privileged white minority was compelled by law to employ previously disenfranchised groups (blacks, Indians, and Coloureds), collectively referred to as 'blacks",1
We should further exploit green technology,Chiang Mai Green City will be the first community in the world which only uses renewable energies and green technologies while trying to be 100% durable,Chiang Mai Green City will be the first community in the world that uses only renewable energy and green technology while striving to be 100% sustainable ,1
Holocaust denial should be a criminal offence,"Under French and German law, the speech of hatred and the denial of the holocaust are illegal.","Under French and German law, hate speech and Holocaust denial are illegal.",1
We should adopt multiculturalism,"The secretary of the shadow hermer, Dominic Grieve, said in 2008 that multiculturalism had created a 'terrible' heritage, a cultural vacuum which was exploited by 'extremists' [ref].","Shadow Home Secretary Dominic Grieve said in 2008 that multiculturalism had created a 'terrible' legacy, a cultural vacuum that has been exploited by 'extremists' [REF].",1
We should introduce universal health care,Some economists who have studied universal health care proposals fear that the consumer health care movement is reducing the effects of social redistribution of insurance that put people at high risk and at low risk together.,Some economists who have studied proposals for universal healthcare worry that the consumer driven healthcare movement will reduce the social redistributive effects of insurance that pools high-risk and low-risk people together.,1
We should abolish zoos,"Today, thanks to their living collections, zoos and aquariums can make a unique contribution to research led by conservation.","Today, through their living collections, zoos and aquariums can make a unique contribution to conservation-directed research.",1
We should ban racial profiling,"In particular, organizations of civil liberties such as the American Civil Liberties Union (ACLU) qualified the racial profiling of the form of discrimination, indicating: 'Discrimination based on race, ethnicity, religion, nationality or on any other particular identity undermines the fundamental human rights and freedoms to which each person is authorized.'","Notably, civil liberties organizations such as the American Civil Liberties Union (ACLU) have labeled racial profiling as a form of discrimination, stating, 'Discrimination based on race, ethnicity, religion, nationality or on any other particular identity undermines the basic human rights and freedoms to which every person is entitled.'",1
We should abandon coal mining,"Federal energy policies continue to support industries of the extraction of coal and natural gas through subsidies to the use and production of fossil fuels, as exports by these industries contribute significantly to the benefits of foreign and government revenues.",Federal energy policies continue to support the coal mining and natural gas industries through subsidies for fossil fuel use and production as the exports by those industries contribute significantly to the earnings of foreign exchange and government revenues.,1
The free market should be protected,"In principle, a fully open market is a completely free market in which all economic players can exchange without any external constraint.","In principle, a fully open market is a completely free market in which all economic actors can trade without any external constraint.",1
